Country,2000_value,2001_value,2002_value,2003_value,2004_value,2005_value,2006_value,2007_value,2008_value,2009_value,2010_value,2011_value,2012_value,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value
Cayman Islands,,,,,,,,,32.56,33.07,33.27,32.51,32.78,33.93,38.57,44.36,39.21,49.28,,
Central African Rep.,,,,,,,,,,,,0.02,0.01,,,0.04,0.02,0.01,0.01,0.01
Chad,,,,,,,,,,0,0,0.13,0.15,0.11,0.07,0.08,0.04,,,
Chile,0.05,0.43,1.2,2.22,2.99,4.38,6.19,7.88,8.54,9.8,10.49,11.67,12.45,13.06,14.02,15.13,15.95,16.58,17.36,18.09
China,0,0.03,0.25,0.85,1.88,2.81,3.8,4.93,6.12,7.64,9.23,11.37,12.66,13.57,14.33,19.69,22.81,27.74,28.54,31.34
Cocos Keeling Islands,,,,,,,,,,,,,,,,,,,,
Colombia,0.02,0.03,0.09,0.16,0.3,0.75,1.45,2.76,4,4.73,5.84,7.33,8.55,9.76,10.71,11.63,12.27,12.94,13.45,13.81
Comoros,,,,,0,0,,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.21,0.21,0.2,0.18,0.13
Congo,,,,,,,,,,0,0.01,0.03,0.03,0.01,0.01,,,,,
Cook Islands,,,,0.17,0.21,0.28,1.91,4.54,6.48,7.88,9.11,12.09,12.99,15.14,,,,,,
Costa Rica,,,0.22,0.36,0.66,1.05,1.92,2.16,2.46,4.04,8.66,9.06,9.57,10.23,10.77,11.52,13.04,15.03,16.7,17.9
Croatia,,,,0.08,0.6,2.65,5.76,8.87,12.13,16.52,19.36,20.7,21.4,22.32,23.13,23.3,24.8,26.2,27.15,27.96
Cuba,,,,,,,,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13,0.3,0.87,1.61
Curacao,,,,,,,,,,,,20.88,22.98,23.6,24.41,25.02,26.52,30.46,31.85,
Cyprus,,0.35,0.82,1.39,2.33,4.28,8.32,12.57,18.48,21.49,23.15,24.61,25.47,26.71,28.76,30.72,32.58,34.21,36.27,37.79
Czech Republic,0.02,0.06,0.15,0.34,2.3,6.91,10.8,14.45,16.88,19.41,21.46,23.75,25.11,26.98,28.28,27.79,28.91,29.57,30.22,33.54
Côte d'Ivoire,,,,0,0,0.01,0.05,0.05,0.05,0.05,,,0.21,0.25,0.56,0.47,0.57,0.58,0.7,0.84
Dem. People's Rep. of Korea,,,,,,,,,,,,,,,,,,,,
Dem. Rep. of the Congo,,,,,,,,,,,0,,,0,0,0,0,0,0.01,
Denmark,1.25,4.44,8.4,13.33,18.83,24.79,31.87,34.8,36.48,36.6,38.03,38.39,38.84,40.3,41.34,42.28,43.1,43.82,44.09,43.95
Djibouti,0,0,0,,,0.01,0.02,0.14,0.3,0.64,0.96,1.32,1.72,2,2.24,2.64,2.61,2.58,2.66,
Dominica,0.11,0.25,3.2,3.78,4.62,4.82,6.08,7.06,9.88,10.3,11.73,11.71,11.98,15.02,15.17,21.3,21.72,21.58,16.08,
Dominican Rep.,,,,0.17,0.42,0.67,1.12,1.86,2.53,3.3,4.03,4.32,4.87,5.24,5.9,6.67,7.38,7.48,7.48,8.25
Ecuador,,0.02,0.05,0.05,0.09,0.19,0.33,0.7,1.07,1.63,1.47,4.32,5.45,6.74,8.27,9.18,8.86,10.03,11.44,12.04
Egypt,,,0.07,0.08,0.11,0.19,0.34,0.61,0.97,1.33,1.75,2.18,2.65,3.03,3.39,4.14,4.73,5.43,6.69,7.57
El Salvador,,,,0.33,0.49,0.7,1.01,1.47,2.01,2.43,2.83,3.32,3.88,4.54,5.07,5.58,6.22,7.06,7.67,
Equatorial Guinea,,,,,,0.02,0.02,0.02,0.02,0.02,0.13,0.14,0.14,0.33,0.35,0.33,0.28,0.15,0.12,
Eritrea,,,,,,,,,0,0,0,0,0.01,0,0.01,0.01,0.02,0.03,,
Estonia,,1.26,3.36,6.58,10.17,13.22,18.29,19.71,21.99,23.47,26.12,26.28,26.41,27.36,28.19,29.67,31.48,32.47,33.35,33.88
Eswatini,,,,,,,,,0.07,0.14,0.34,0.75,0.32,0.39,0.47,0.54,0.63,0.71,,
Ethiopia,,,,0,0,0,0,0,0,0,0,0.01,0.01,0.25,0.48,0.47,0.54,0.06,,
Falkland (Malvinas) Is.,,,,,,,10.87,21.04,30.29,39.08,40.47,42.08,43.54,46.39,50.61,70.57,54.99,32.59,,
Faroe Islands,,0.11,0.24,0.83,6.58,12.3,27.47,30.24,31.11,33.22,33.84,33.58,34.12,34.87,36.2,37.03,37.31,37.33,37.49,
Fiji,,,,,,0.85,1.03,1.38,1.54,1.5,2.7,2.69,1.56,1.26,1.43,1.47,1.41,1.38,1.48,
Finland,0.67,2.58,5.25,9.4,15.26,22.33,27.08,30.52,30.42,29.31,29.06,29.8,30.43,31.63,32.2,31.56,31.14,31.03,31.45,32.48
France,0.33,1.01,2.77,5.92,10.81,15.5,20.67,25.46,28.66,31.74,33.93,35.98,37.73,39.03,40.45,41.68,42.8,43.92,44.78,45.69
French Guiana,,,,,,,,,,13.27,,,,,,,,,,
French Polynesia,,0.01,0.01,0.37,1.78,4.25,6.99,8.98,10.48,11.32,12.1,13.45,14.94,16.61,18.31,19.01,20.19,20.89,21.53,
Gabon,,,,0.01,0.05,0.11,0.12,0.13,0.14,0.24,0.25,0.27,0.29,0.49,0.57,0.57,0.75,0.72,1.37,
Gambia,,,,,0,0,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.14,0.17,0.17,0.18,0.19,
Georgia,,0.01,0.02,0.03,0.04,0.06,0.64,1.12,2.71,3.64,4.45,6.09,11.39,12.77,14.89,15.8,16.96,19.48,21.54,23.56
Germany,0.33,2.58,3.93,5.48,8.57,13.22,18.38,24.3,28.01,30.86,32.37,33.71,34.53,35.28,36.31,37.55,38.76,40.22,41.11,41.99
Ghana,,,,,0,0.01,0.06,0.07,0.1,0.12,0.21,0.26,0.26,0.26,0.26,0.26,0.3,0.2,0.21,0.19
Gibraltar,,,,,,,,,,27.7,31.06,33.57,35.6,,38.55,46.17,48.62,51.51,57.04,56.29
Greece,,,,0.09,0.46,1.43,4.36,9.15,13.65,17.49,20.69,22.76,24.95,27.12,29.49,32.26,34.06,35.75,37.65,39.32
Greenland,,,,0.21,5.84,12.52,16.18,18.53,21.13,22.11,21.88,21.03,20.15,19.14,18.45,17.74,,21.27,23.32,25.42
Grenada,,,0.54,,0.58,3.08,5.28,7.23,8.49,11.69,13.59,13.74,14.89,16.64,17.27,18.03,18.88,20.05,24.21,22.84
Guadeloupe,,,,,,,,,,,,,,,,,,,,
Guam,,1.12,,,,,,1.7,1.7,1.88,1.88,,,1.87,1.86,,,,,
Guatemala,,,,,,0.21,0.29,0.42,0.67,1.09,1.77,,1.84,2.26,2.72,2.83,3.05,3.14,,
Guernsey,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Guinea-Bissau,,,,,,,,,,,0.05,0.06,0.07,0.09,0.08,0.06,0.05,0.05,0.06,0.06
Guyana,,,,,,0.27,,0.32,0.68,0.91,1.49,2.73,3.97,4.86,5.92,7,7.42,8.37,,
Haiti,,,,,,,,,,,,,0,0,0,0.01,0.01,0.27,0.28,
Honduras,,,,,,,,,,,0.01,0.68,0.71,0.78,1.76,2.17,2.38,2.53,3.7,4.01
"Hong Kong, China",6.73,10.75,15.5,18.86,22.5,24.51,26.41,27.76,28.12,29.65,31.12,32.81,32,31.53,31.97,32.67,36.25,36.38,36.83,37.49
Hungary,0.03,0.31,1.1,2.61,4.06,6.46,11.93,14.51,17.72,19.85,21.75,23.37,24.29,26.41,26.32,27.81,28.86,30.39,31.72,32.94
Iceland,0.84,3.68,8.51,14.44,19.16,26.45,29.27,32.78,34.1,33.88,34.09,34.5,34.83,35.9,36.41,37.68,38.54,39.95,40.56,40.78
India,,0,0.01,0.01,0.02,0.12,0.2,0.26,0.44,0.64,0.89,1.07,1.18,1.17,1.22,1.29,1.41,1.33,1.34,1.45
Indonesia,0,0.01,0.02,0.03,0.04,0.05,0.08,0.34,0.42,0.78,0.94,1.12,1.2,1.29,1.33,1.54,2,2.35,3.32,3.48
Iran (Islamic Republic of),0,0,0.02,0.03,,,0.14,0.28,0.42,0.55,1.34,2.84,5.04,6.75,7.93,8.42,9.56,10.66,11.99,10.4
Iraq,,,,,,,0,0,0,0,0.01,,,,,,,11.43,11.69,
Ireland,,,0.27,1.05,3.75,7.79,13.28,17.54,20.18,21.72,22.4,23.32,24.13,25.77,27.21,28.15,28.97,29.43,29.68,29.95
Israel,,0.72,3.76,10.08,15.32,18.83,21.27,22.32,23.99,23.96,23.98,25.1,25.44,25.9,27.13,27.24,27.85,28.41,29.05,29.12
