numbers,country_code,tz,COU
227,GM,+00:00,GMB
228,GN,+00:00,GIN
229,GP,−04:00,GLP
230,GQ,+01:00,GNQ
231,GR,+02:00,GRC
232,GS,−02:00,SGS
233,GT,−06:00,GTM
234,GU,+10:00,GUM
235,GW,+00:00,GNB
236,GY,−04:00,GUY
237,HK,+08:00,HKG
238,HK,+08:00,HKG
239,HN,−06:00,HND
240,HR,+01:00,HRV
241,HT,−05:00,HTI
242,HU,+01:00,HUN
243,ID,+07:00,IDN
244,ID,+09:00,IDN
245,ID,+08:00,IDN
246,ID,+07:00,IDN
247,ID,+08:00,IDN
248,IE,+01:00,IRL
249,IE,+01:00,IRL
250,IL,+02:00,ISR
251,IL,+02:00,ISR
252,IL,+02:00,ISR
253,IM,+00:00,IMN
254,IN,+05:30,IND
255,IN,+05:30,IND
256,IO,+06:00,IOT
257,IQ,+03:00,IRQ
258,IR,+03:30,IRN
259,IR,+03:30,IRN
260,IS,+00:00,ISL
261,IS,+00:00,ISL
262,IT,+01:00,ITA
263,JE,+00:00,JEY
264,JM,−05:00,JAM
265,JM,−05:00,JAM
266,JO,+02:00,JOR
267,JP,+09:00,JPN
268,JP,+09:00,JPN
269,KE,+03:00,KEN
270,KG,+06:00,KGZ
271,KH,+07:00,KHM
272,KI,+13:00,KIR
273,KI,+14:00,KIR
274,KI,+12:00,KIR
275,KM,+03:00,COM
276,KN,−04:00,KNA
277,KP,+09:00,PRK
278,KR,+09:00,KOR
279,KR,+09:00,KOR
280,KW,+03:00,KWT
281,KY,−05:00,CYM
282,KZ,+06:00,KAZ
283,KZ,+05:00,KAZ
284,KZ,+05:00,KAZ
285,KZ,+05:00,KAZ
286,KZ,+05:00,KAZ
287,KZ,+06:00,KAZ
288,KZ,+05:00,KAZ
289,LA,+07:00,LAO
290,LB,+02:00,LBN
291,LC,−04:00,LCA
292,LI,+01:00,LIE
293,LK,+05:30,LKA
294,LR,+00:00,LBR
295,LS,+02:00,LSO
296,LT,+02:00,LTU
297,LU,+01:00,LUX
298,LV,+02:00,LVA
299,LY,+02:00,LBY
300,LY,+02:00,LBY
301,MA,+01:00,MAR
302,MC,+01:00,MCO
303,MD,+02:00,MDA
304,MD,+02:00,MDA
305,ME,+01:00,MNE
306,MF,−04:00,MAF
307,MG,+03:00,MDG
308,MH,+12:00,MHL
309,MH,+12:00,MHL
310,MH,+12:00,MHL
311,MK,+01:00,MKD
312,ML,+00:00,MLI
313,ML,+00:00,MLI
314,MM,+06:30,MMR
315,MM,+06:30,MMR
316,MN,+08:00,MNG
317,MN,+07:00,MNG
318,MN,+08:00,MNG
319,MN,+08:00,MNG
320,MO,+08:00,MAC
321,MO,+08:00,MAC
322,MP,+10:00,MNP
323,MQ,−04:00,MTQ
324,MR,+00:00,MRT
325,MS,−04:00,MSR
326,MT,+01:00,MLT
327,MU,+04:00,MUS
328,MV,+05:00,MDV
329,MW,+02:00,MWI
330,MX,−06:00,MEX
331,MX,−05:00,MEX
332,MX,−07:00,MEX
333,MX,−08:00,MEX
334,MX,−07:00,MEX
335,MX,−06:00,MEX
336,MX,−07:00,MEX
337,MX,−06:00,MEX
338,MX,−06:00,MEX
339,MX,−06:00,MEX
340,MX,−07:00,MEX
341,MX,−08:00,MEX
342,MX,−08:00,MEX
343,MX,−08:00,MEX
344,MX,−07:00,MEX
345,MX,−06:00,MEX
346,MY,+08:00,MYS
347,MY,+08:00,MYS
348,MZ,+02:00,MOZ
349,NA,+02:00,NAM
350,NC,+11:00,NCL
351,NE,+01:00,NER
352,NF,+11:00,NFK
353,NG,+01:00,NGA
354,NI,−06:00,NIC
355,NL,+01:00,NLD
356,NO,+01:00,NOR
357,NP,+05:45,NPL
358,NP,+05:45,NPL
359,NR,+12:00,NRU
360,NU,−11:00,NIU
361,NZ,+12:00,NZL
362,NZ,+12:45,NZL
363,NZ,+12:00,NZL
364,NZ,+12:45,NZL
365,OM,+04:00,OMN
366,PA,−05:00,PAN
367,PE,−05:00,PER
368,PF,−09:00,PYF
369,PF,−09:30,PYF
370,PF,−10:00,PYF
371,PG,+11:00,PNG
372,PG,+10:00,PNG
373,PH,+08:00,PHL
374,PK,+05:00,PAK
375,PL,+01:00,POL
376,PL,+01:00,POL
377,PM,−03:00,SPM
378,PN,−08:00,PCN
379,PR,−04:00,PRI
380,PS,+02:00,PSE
381,PS,+02:00,PSE
382,PT,−01:00,PRT
383,PT,+00:00,PRT
384,PT,+00:00,PRT
385,PT,+00:00,PRT
386,PW,+09:00,PLW
387,PY,−04:00,PRY
388,QA,+03:00,QAT
389,RE,+04:00,REU
390,RO,+02:00,ROU
391,RS,+01:00,SRB
392,RU,+12:00,RUS
393,RU,+07:00,RUS
394,RU,+09:00,RUS
395,RU,+08:00,RUS
396,RU,+12:00,RUS
397,RU,+09:00,RUS
398,RU,+07:00,RUS
399,RU,+11:00,RUS
400,RU,+07:00,RUS
401,RU,+07:00,RUS
402,RU,+06:00,RUS
403,RU,+11:00,RUS
404,RU,+11:00,RUS
405,RU,+07:00,RUS
406,RU,+10:00,RUS
407,RU,+10:00,RUS
408,RU,+09:00,RUS
409,RU,+05:00,RUS
410,RU,+04:00,RUS
411,RU,+02:00,RUS
412,RU,+03:00,RUS
413,RU,+03:00,RUS
414,RU,+04:00,RUS
415,RU,+04:00,RUS
416,RU,+04:00,RUS
417,RU,+03:00,RUS
418,RU,+03:00,RUS
419,RW,+02:00,RWA
420,SA,+03:00,SAU
421,SB,+11:00,SLB
422,SC,+04:00,SYC
423,SD,+02:00,SDN
424,SE,+01:00,SWE
425,SG,+08:00,SGP
426,SG,+08:00,SGP
427,SH,+00:00,SHN
428,SI,+01:00,SVN
429,SJ,+01:00,SJM
430,SJ,+01:00,SJM
431,SK,+01:00,SVK
432,SL,+00:00,SLE
433,SM,+01:00,SMR
434,SN,+00:00,SEN
435,SO,+03:00,SOM
436,SR,−03:00,SUR
437,SS,+03:00,SSD
438,ST,+00:00,STP
439,SV,−06:00,SLV
440,SX,−04:00,SXM
441,SY,+02:00,SYR
442,SZ,+02:00,SWZ
443,TC,−05:00,TCA
444,TD,+01:00,TCD
445,TF,+05:00,ATF
446,TG,+00:00,TGO
447,TH,+07:00,THA
448,TJ,+05:00,TJK
449,TK,+13:00,TKL
450,TL,+09:00,TLS
451,TM,+05:00,TKM
452,TM,+05:00,TKM
453,TN,+01:00,TUN
454,TO,+13:00,TON
455,TR,+03:00,TUR
456,TR,+03:00,TUR
457,TR,+03:00,TUR
458,TT,−04:00,TTO
459,TV,+12:00,TUV
460,TW,+08:00,TWN
461,TW,+08:00,TWN
462,TZ,+03:00,TZA
463,UA,+02:00,UKR
464,UA,+03:00,UKR
465,UA,+02:00,UKR
466,UA,+02:00,UKR
467,UG,+03:00,UGA
468,UM,−10:00,UMI
469,UM,−11:00,UMI
470,UM,+12:00,UMI
518,UY,−03:00,URY
519,UZ,+05:00,UZB
520,UZ,+05:00,UZB
521,VA,+01:00,VAT
522,VC,−04:00,VCT
523,VE,−04:00,VEN
524,VG,−04:00,VGB
525,VI,−04:00,VIR
526,VI,−04:00,VIR
527,VN,+07:00,VNM
528,VN,+07:00,VNM
529,VU,+11:00,VUT
530,WF,+12:00,WLF
531,WS,+13:00,WSM
532,WS,−11:00,WSM
533,WS,−11:00,WSM
534,YE,+03:00,YEM
535,YT,+03:00,MYT
536,ZA,+02:00,ZAF
537,ZM,+02:00,ZMB
538,ZW,+02:00,ZWE
,US,+00:00,USA
